RoadCategory,LinkLength_km,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,AllMotorVehicles
PU,1,998,24778,1702,2712,31063
PU,3.2,824,36442,303,6347,45665
PU,0.7,1331,54892,395,13504,72941
PU,0.2,1316,41205,573,9744,56334
PU,0.4,2035,19808,37,3569,25872
PU,1.9,1015,19412,2970,3280,27724
PU,2.1,1045,18821,650,2794,24664
PU,0.8,898,9784,616,3020,15221
PU,0.6,567,20434,531,2822,24731
PU,0.4,5567,60169,1738,9649,80159
PU,0.3,2375,22150,2251,4164,31680
PU,1.1,1774,24301,1214,4551,32444
PU,0.6,1566,21211,1541,3792,28480
PU,3.9,1763,93920,633,17648,118847
PU,1.4,882,44009,881,7534,54959
PU,0.5,696,10532,1282,1218,14100
PU,0.2,511,12187,1429,1457,15944
PU,0.4,1301,13124,1040,3657,19995
PU,1.4,2753,65467,620,18238,91218
PU,0.2,542,35105,355,6125,43404
PU,0.8,413,19142,1567,3572,26041
PU,0.7,943,9889,1736,2114,15187
PU,4.3,284,13394,444,2206,16925
PU,0.2,755,14917,3961,2850,22902
PU,0.3,303,7761,3177,1595,13006
PU,0.8,251,11934,420,2591,15509
PU,0.1,611,18157,569,3260,23131
PU,3.1,125,14796,233,1583,16989
PU,1.2,238,11665,694,2141,15101
PU,0.7,205,6853,451,964,8743
PU,0.8,124,9937,906,984,12193
PU,1.6,283,11491,907,1610,14678
PU,2,297,17555,462,1972,20437
PU,3.8,119,14237,1027,1392,17081
PU,1.9,332,14035,649,1562,16946
PU,1.8,166,13391,1344,1332,16454
PU,4.1,311,18782,139,2420,22193
PU,0.3,491,11725,339,2321,15297
PU,0.4,2860,17945,784,5772,28019
PU,0.1,1012,13180,1539,2818,19400
PU,0.6,1172,15178,1170,3907,22186
PU,2.1,651,17487,522,3217,22760
PU,1.8,388,12124,156,1480,14863
PU,4.1,82,8117,206,1166,9727
PU,1.4,742,13463,1073,3968,19641
PU,0.7,86,17981,323,3486,22740
PU,2.2,147,8983,495,1163,10906
PU,1.2,301,12455,722,1541,15432
PU,2.8,520,16215,460,3117,20844
PU,4,188,12956,123,1691,15635
PU,0.4,285,13491,454,2583,17080
PU,0.4,2242,30361,134,6283,39786
PU,0.1,1008,22305,1166,3599,28663
PU,1.7,313,11686,453,1211,14013
PU,1.4,381,10614,386,2482,14198
PU,0.2,142,5622,767,923,7696
PU,2.9,564,10908,207,2792,15372
PU,1.5,1178,12820,1233,2144,18019
PU,1.1,337,23536,122,3901,28396
PU,2.4,129,11459,902,1511,14197
PU,0.3,476,18940,204,3963,24068
PU,0.4,203,20757,240,3206,24891
PU,3.5,200,14774,496,1978,17800
PU,0.6,409,25693,92,3958,30827
PU,0.3,637,15417,549,2789,20077
PU,2.6,224,8433,158,1389,10620
PU,1.2,421,12339,195,2843,16322
PR,1.7,291,16362,100,3387,20802
PU,3.1,198,11844,503,1313,14077
PU,1.5,305,9604,373,1739,12675
PU,0.8,1599,10333,3911,1747,18031
PU,1.6,1740,17509,877,2325,22763
PU,0.5,511,5265,1416,1061,8580
PU,0.6,2046,19007,752,3849,26703
PU,0.3,533,12925,1439,1291,16786
PU,0.2,929,32968,480,4797,39883
PU,0.7,366,14045,348,1912,17228
PU,2.1,116,7343,732,888,9218
PU,0.3,323,23561,477,3354,27993
PU,1.8,483,39486,156,7435,50292
PU,0.9,413,18377,484,3659,23968
PU,0.8,583,9694,829,1919,13319
PU,1.6,209,5954,148,793,7176
PU,1.2,317,10830,456,1584,13431
PU,0.5,219,6513,380,786,8802
PU,1.6,893,60989,233,8522,72470
PU,0.4,489,5075,703,660,7159
PU,1.5,151,13269,478,1227,15429
PU,2.6,1487,56636,470,11667,75092
PU,1.3,930,76364,624,16711,99751
PU,0.4,349,22051,1289,3390,27699
PU,2.5,62,12143,185,1385,14000
